cigar,3
rebut,4
sissy,3
humph,4
awake,3
blush,3
focal,4
evade,4
naval,4
serve,3
heath,3
dwarf,3
model,4
karma,4
stink,4
grade,3
quiet,4
bench,3
abate,3
feign,4
major,4
death,2
fresh,3
crust,3
stool,3
colon,3
abase,3
marry,4
react,3
batty,3
pride,4
floss,2
helix,4
croak,4
staff,3
paper,4
unfed,3
whelp,4
trawl,3
outdo,4
adobe,4
crazy,5
sower,3
repay,5
digit,4
crate,3
cluck,3
spike,4
mimic,3
pound,4
maxim,5
linen,3
unmet,4
flesh,3
booby,4
forth,3
first,3
stand,5
belly,3
ivory,4
seedy,3
print,3
yearn,3
drain,3
bribe,4
stout,5
panel,3
crass,3
flume,4
offal,3
agree,3
error,3
swirl,3
argue,3
bleed,3
delta,2
flick,4
totem,4
wooer,4
front,3
shrub,4
parry,4
biome,3
lapel,3
start,4
greet,4
goner,3
golem,4
lusty,2
loopy,3
round,3
audit,4
lying,3
gamma,4
labor,3
islet,2
civic,4
forge,3
corny,3
moult,3
basic,3
salad,3
agate,3
spicy,3
spray,3
essay,3
fjord,4
spend,4
kebab,4
guild,4
aback,3
motor,3
alone,4
hatch,5
hyper,4
thumb,3
dowry,3
ought,3
belch,4
dutch,4
pilot,3
tweed,3
comet,3
jaunt,4
enema,3
steed,3
abyss,3
growl,3
fling,3
dozen,3
boozy,5
erode,4
world,4
gouge,3
click,3
briar,4
great,3
altar,3
pulpy,4
blurt,3
coast,4
duchy,4
groin,4
fixer,5
group,3
rogue,4
badly,4
smart,3
pithy,4
gaudy,4
chill,4
heron,3
vodka,4
finer,3
surer,4
radio,3
rouge,4
perch,4
retch,4
wrote,3
clock,3
tilde,3
store,4
prove,4
bring,3
solve,3
cheat,3
grime,3
exult,3
usher,3
epoch,4
triad,3
break,4
rhino,4
viral,4
conic,4
masse,3
sonic,3
vital,3
trace,2
using,3
peach,3
champ,5
baton,3
brake,3
pluck,4
craze,5
gripe,4
weary,3
picky,4
acute,2
ferry,5
aside,3
tapir,3
troll,3
unify,4
rebus,3
boost,3
truss,3
siege,3
tiger,4
banal,3
slump,3
crank,3
gorge,3
query,5
drink,4
favor,4
abbey,3
tangy,4
panic,4
